Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
138,D.J. Reed\ReedD.00,SEA,24,rcb,10,8,2,21,0,20,7,0,1,2,0,0,0.0,62,46,16,2,0,
139,Kyle Van Noy\VanNKy00,MIA,29,ROLB,14,13,0,0,0,0,6,2,0,2,28,0,6.0,69,46,23,10,10,
140,Damien Wilson\WilsDa02,KAN,27,MLB,13,13,0,0,0,0,1,1,0,0,0,0,0.0,73,46,27,3,0,
141,Jayon Brown\BrowJa06,TEN,25,rilb,10,10,1,0,0,0,8,2,0,0,0,0,1.0,76,45,31,5,2,
142,Cole Holcomb\HolcCo00,WAS,24,llb,11,10,1,0,0,0,1,,,,,,2.5,72,45,27,6,4,
143,Kevin King\KingKe01,GNB,25,RCB,11,11,0,0,0,0,5,1,0,1,48,0,0.0,57,45,12,0,1,
144,Devin McCourty\McCoDe99,NWE,33,FS,16,16,2,62,1,43,6,,,,,,0.0,68,45,23,2,0,
145,Amani Oruwariye\OruwAm00,DET,24,RCB,16,15,1,0,0,0,7,,,,,,0.0,53,45,8,1,0,
146,Jimmie Ward\WardJi01,SFO,29,FS,14,14,0,0,0,0,4,2,0,0,0,0,0.0,73,45,28,0,1,
147,Jarrod Wilson\WilsJa00,JAX,26,FS,12,12,1,48,0,48,3,,,,,,0.0,69,45,24,2,0,
148,James Bradberry *\BradJa00,NYG,27,LCB,15,15,3,19,0,19,18,2,0,1,0,0,0.0,54,44,10,0,0,
149,Joe Haden\HadeJo99,PIT,31,LCB,14,14,2,38,1,24,12,,,,,,0.0,52,44,8,2,0,
150,Erik Harris\HarrEr00,LVR,30,FS,14,12,0,0,0,0,5,1,0,0,0,0,0.0,61,44,17,1,1,
151,Anthony Hitchens\HitcAn00,KAN,28,LLB,14,14,0,0,0,0,1,,,,,,0.0,78,44,34,2,4,
152,Janoris Jenkins\JenkJa03,NOR,32,LCB,13,13,3,53,1,36,12,,,,,,0.0,55,44,11,2,0,
153,Micah Kiser\KiseMi00,LAR,25,lilb,9,9,0,0,0,0,3,1,0,0,0,0,0.0,77,44,33,0,1,
154,Tre'Davious White *\WhitTr01,BUF,25,LCB,14,14,3,28,0,28,11,1,0,2,-1,0,1.5,57,44,13,2,3,
155,Shaquil Barrett\BarrSh00,TAM,28,ROLB,15,15,0,0,0,0,3,2,0,0,0,0,8.0,57,43,14,11,16,1
156,Ronald Darby\DarbRo00,WAS,26,RCB,16,16,0,0,0,0,16,0,0,1,0,0,0.0,55,43,12,1,0,
157,Kyle Dugger\DuggKy00,NWE,24,db,14,7,,,,,,,,,,,0.0,64,43,21,1,0,
158,Rodney McLeod\McLeRo00,PHI,30,SS,13,13,1,21,0,21,7,0,0,2,50,1,0.0,66,43,23,3,0,
159,Steven Nelson\NelsSt01,PIT,27,RCB,15,15,2,3,0,3,9,0,0,1,0,0,0.0,48,43,5,2,0,
160,Haason Reddick\ReddHa00,ARI,26,LOLB,16,11,0,0,0,0,4,6,0,0,0,0,12.5,63,43,20,15,16,
161,Isaiah Simmons\SimmIs00,ARI,22,lb,16,7,1,12,0,12,2,1,0,1,0,0,2.0,54,43,11,4,3,
162,T.J. Watt *+\WattT.00,PIT,26,LOLB,15,15,1,0,0,0,7,2,0,0,0,0,15.0,53,43,10,23,41,
163,Quandre Diggs*\DiggQu00,SEA,27,FS,16,16,5,57,0,32,10,,,,,,0.0,64,42,22,0,0,
164,Jordan Fuller\FullJo01,LAR,22,SS,12,12,3,45,0,37,5,,,,,,0.0,60,42,18,0,0,
165,Mike Hilton\HiltMi01,PIT,26,db,12,6,3,5,0,8,7,1,0,2,22,0,3.0,51,42,9,8,5,
166,Brandon Jones\JoneBr06,MIA,22,fs,16,4,0,0,0,0,1,1,0,0,0,0,1.0,62,41,21,3,1,
167,Jayron Kearse\KearJa00,DET,26,ss,11,7,0,0,0,0,2,1,0,0,0,0,0.0,59,41,18,0,1,
168,Jeff Okudah\OkudJe00,DET,21,rcb,9,6,1,36,0,36,2,,,,,,0.0,47,41,6,4,0,
169,Sione Takitaki\TakiSi00,CLE,25,RLB,15,12,1,50,1,50,1,,,,,,1.0,67,41,26,2,2,
170,Jaire Alexander*\AlexJa00,GNB,23,LCB,15,15,1,-4,0,-4,13,1,0,0,0,0,1.0,51,40,11,2,1,1
171,Xavien Howard*+\HowaXa00,MIA,27,RCB,16,16,10,77,0,29,20,1,0,0,0,0,0.0,51,40,11,1,0,
172,Desmond King\KingDe01,2TM,26,,15,8,0,0,0,0,2,0,0,1,63,1,2.0,55,40,15,2,2,
173,Jourdan Lewis\LewiJo01,DAL,25,DB,15,13,0,0,0,0,2,0,0,1,0,0,2.0,59,40,19,7,1,
174,Byron Murphy\MurpBy00,ARI,22,rcb,15,7,0,0,0,0,8,0,0,2,3,0,2.0,51,40,11,3,2,
175,Grover Stewart\StewGr00,IND,27,RDT,16,16,0,0,0,0,1,,,,,,0.5,53,40,13,6,5,
176,Kwon Alexander\AlexKw00,2TM,26,,12,12,0,0,0,0,4,2,0,2,20,0,1.0,57,39,18,3,2,
177,Pierre Desir\DesiPi00,2TM,30,,12,8,3,58,1,35,8,1,0,0,0,0,0.0,49,39,10,2,0,
178,Bobby McCain\McCaBo01,MIA,27,SS,16,15,1,19,0,19,5,,,,,,0.0,46,39,7,0,2,
179,Robert Spillane\SpilRo00,PIT,25,lilb,12,7,1,33,1,33,4,0,0,1,0,0,2.0,45,39,6,4,3,
180,Marcus Williams\WillMa06,NOR,24,FS,14,14,3,37,0,20,7,,,,,,0.0,59,39,20,0,0,
181,Kendall Fuller\FullKe00,WAS,25,LCB,14,14,4,0,0,0,11,,,,,,0.0,50,38,12,1,0,
182,William Jackson III\JackWi02,CIN,28,RCB,14,14,1,30,0,30,11,,,,,,0.0,45,38,7,1,0,
183,LeShaun Sims\SimsLe00,CIN,27,lcb,13,10,1,0,0,0,4,,,,,,0.0,52,38,14,0,0,
184,Charvarius Ward\WardCh01,KAN,24,LCB,14,13,0,0,0,0,6,,,,,,1.0,51,38,13,1,3,
185,Denzel Ward\WardDe02,CLE,23,LCB,12,12,2,0,0,0,18,1,0,0,0,0,0.0,46,38,8,1,1,
186,DeForest Buckner +\BuckDe00,IND,26,LDT,15,14,0,0,0,0,3,2,0,1,0,0,9.5,58,37,21,10,26,1
187,T.J. Edwards\EdwaTJ02,PHI,24,MLB,12,12,1,13,0,13,1,2,0,0,0,0,2.0,70,37,33,5,2,
188,Tre Flowers\FlowTr01,SEA,25,rcb,12,7,0,0,0,0,2,1,0,0,0,0,0.0,47,37,10,1,0,
189,Lawrence Guy\GuyxLa00,NWE,30,LDT,14,14,,,,,,0,0,1,0,0,2.0,57,37,20,4,7,
190,Harvey Langi\LangHa00,NYJ,28,lilb,14,6,0,0,0,0,1,0,0,1,0,0,0.0,60,37,23,0,1,
191,Tarvarius Moore\MoorTa00,SFO,24,ss,16,8,0,0,0,0,1,1,0,1,3,0,0.0,52,37,15,1,0,
192,Nickell Robey-Coleman\RobeNi00,PHI,28,lcb,15,7,0,0,0,0,1,1,0,1,0,0,0.0,44,37,7,2,0,
193,Kendall Sheffield\ShefKe00,ATL,24,lcb,13,9,0,0,0,0,3,1,0,0,0,0,0.0,51,37,14,0,0,
194,Darious Williams\WillDa09,LAR,27,rilb,16,10,4,21,0,19,14,,,,,,0.0,44,37,7,1,0,
195,Jonathan Allen\AlleJo01,WAS,25,RDT,16,16,,,,,,0,0,1,0,0,2.0,63,36,27,3,14,1
196,Bryce Callahan\CallBr00,DEN,29,rcb,10,10,2,0,0,0,5,0,0,1,0,0,0.0,42,36,6,1,0,
197,Cameron Dantzler\DantCa00,MIN,22,lcb,11,10,2,0,0,0,4,1,0,1,0,0,0.0,46,36,10,3,0,
198,Casey Hayward\HaywCa00,LAC,31,RCB,14,13,1,9,0,9,8,,,,,,0.0,41,36,5,0,0,
199,Avonte Maddox\MaddAv00,PHI,24,lcb,10,8,0,0,0,0,3,,,,,,0.0,40,36,4,1,0,
200,Nik Needham\NeedNi00,MIA,24,db,16,6,2,1,0,1,7,,,,,,1.0,58,36,22,1,1,
201,Kevin Pierre-Louis\PierKe00,WAS,29,RLB,13,11,0,0,0,0,2,1,0,0,0,0,1.0,56,36,20,3,2,
202,Jalen Ramsey*+\RamsJa00,LAR,26,RCB,15,15,1,2,0,2,9,,,,,,0.0,44,36,8,2,1,
203,J.J. Watt\WattJ.00,HOU,31,LDE,16,16,1,19,1,19,7,2,0,1,0,0,5.0,52,36,16,14,17,
204,Rock Ya-Sin\Ya-SRo00,IND,24,lcb,13,8,1,0,0,0,7,1,0,0,0,0,0.0,45,36,9,0,0,
205,Julian Blackmon\BlacJu01,IND,22,FS,15,14,2,19,0,15,6,1,0,0,0,0,0.0,42,35,7,3,0,
206,Jordyn Brooks\BrooJo01,SEA,23,lb,14,6,0,0,0,0,2,,,,,,0.0,57,35,22,2,0,
207,Brian Burns\BurnBr00,CAR,22,LDE,15,14,0,0,0,0,4,3,0,0,0,0,9.0,58,35,23,8,21,
208,Marcus Epps\EppsMa00,PHI,24,db,14,5,2,0,0,0,4,,,,,,0.0,47,35,12,0,0,
209,Brandon Graham*\GrahBr99,PHI,32,RDE,16,16,,,,,,2,0,1,0,0,8.0,46,35,11,13,16,
210,Amani Hooker\HookAm00,TEN,22,fs,16,3,4,11,0,6,8,,,,,,0.0,51,35,16,1,0,
